DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2764.0,17.7958,-0.0391,2.14,93.8247,11.4768,0.3538,200.5523
2764.5,17.8957,-0.0196,2.145,94.4581,11.843,0.3583,200.5309
2765.0,17.8957,0.0216,2.122,93.7193,11.6536,0.3473,200.6576
2765.5,17.8957,0.0476,2.11,92.0818,11.4643,0.3312,200.7361
2766.0,17.5959,0.0086,2.122,90.273,11.2411,0.341,200.7331
2766.5,17.496,-0.0066,2.122,88.7565,10.696,0.341,200.6889
2767.0,17.496,-0.0066,2.129,89.2017,9.947,0.3424,200.5491
2767.5,17.7458,-0.0564,2.145,90.8193,10.4998,0.3438,200.4705
2768.0,18.0456,-0.0239,2.147,92.5202,11.6723,0.3638,200.4705
2768.5,17.8458,-0.0109,2.11,92.447,12.4178,0.3711,200.448
2769.0,17.6959,-0.0239,2.086,90.4847,12.1705,0.3784,200.2184
2769.5,17.6459,-0.0304,2.089,87.8463,10.8452,0.3864,199.6174
2770.0,17.6959,-0.0391,2.08,83.3897,9.5683,0.3821,199.1607
2770.5,17.6959,-0.0326,2.066,79.8241,8.6563,0.4059,198.9261
2771.0,17.9956,-0.0066,2.051,79.4754,9.104,0.4236,198.9854
2771.5,18.2455,0.0173,2.035,83.4994,9.9497,0.424,199.4008
2772.0,17.7958,0.0454,2.047,87.8848,10.2317,0.4208,199.9141
2772.5,17.8957,0.0129,2.073,90.1452,10.5467,0.4183,200.3277
2773.0,17.8957,0.0389,2.073,92.647,11.2045,0.435,200.5098
2773.5,17.9956,0.0346,2.041,94.7363,12.5698,0.4578,200.6602
2774.0,17.8957,0.0389,2.029,96.1103,13.4819,0.4654,200.7306
2774.5,17.7958,0.0151,2.027,96.2326,13.2442,0.444,200.7361
2775.0,17.6959,-0.0109,2.046,94.7735,12.8462,0.4242,200.7771
2775.5,17.7458,-0.0239,2.037,93.7368,13.001,0.3996,200.9061
2776.0,17.8957,-0.0022,2.006,93.0255,13.3769,0.3829,201.0017
2776.5,17.7458,0.0281,2.019,91.3198,13.808,0.3695,201.0017
2777.0,18.1955,-0.0174,2.05,90.3504,14.3774,0.3693,200.9953
2777.5,18.0956,-0.0001,2.055,90.7436,14.8141,0.3945,200.9246
2778.0,17.5959,0.0108,2.063,91.501,14.6538,0.3931,200.7182
2778.5,17.6459,0.0151,2.098,92.2439,13.8633,0.3644,200.4337
2779.0,17.546,0.0216,2.134,92.8737,12.6915,0.3723,200.0572
2779.5,17.6959,-0.0196,2.132,93.4901,11.3869,0.3801,199.7264
2780.0,17.3961,-0.0152,2.133,94.823,11.0276,0.39,199.5749
2780.5,17.3961,-0.0022,2.101,96.9633,12.0945,0.3894,199.4296
2781.0,17.3461,0.0064,2.111,98.5866,13.3382,0.3839,199.408
2781.5,17.496,0.0021,2.112,99.5185,13.4322,0.3904,199.3707
2782.0,17.496,0.0173,2.095,100.0441,12.4925,0.3919,199.3449
2782.5,17.3961,0.0498,2.077,99.661,11.4643,0.3847,199.5311
2783.0,17.5959,0.0563,2.087,98.2538,11.2598,0.3617,199.8148
2783.5,17.8458,0.0238,2.112,95.5871,11.0884,0.3426,199.9815
2784.0,18.1955,-0.0369,2.141,92.4072,11.4035,0.3424,200.1848
2784.5,18.1955,-0.0109,2.144,89.6352,12.205,0.3167,200.5023
2785.0,18.2455,-0.0174,2.146,87.3081,13.4487,0.3041,200.8798
2785.5,18.4453,-0.0044,2.15,85.6461,14.0291,0.2948,201.1424
2786.0,18.2954,-0.0109,2.172,84.8531,13.5814,0.2868,201.2374
2786.5,18.5952,0.0216,2.183,84.9234,12.4704,0.2819,201.2674
2787.0,18.895,0.0498,2.182,86.5997,11.8734,0.3113,201.2778
2787.5,19.2948,0.0931,2.145,89.2829,12.4372,0.341,201.3307
